"MES_REFERENCIA";"SUBMERCADO";"PLD_MEDIA_MES"
"201411";SUL;804.54
"201412";NORDESTE;601.21
"201412";NORTE;601.21
"201412";SUDESTE;601.21
"201412";SUL;601.21
"201501";NORDESTE;388.48
"201501";NORTE;388.48
"201501";SUDESTE;388.48
"201501";SUL;388.48
"201502";NORDESTE;388.48
"201502";NORTE;388.48
"201502";SUDESTE;388.48
"201502";SUL;388.48
"201503";NORDESTE;388.48
"201503";NORTE;339.91
"201503";SUDESTE;388.48
"201503";SUL;388.48
"201504";NORDESTE;388.48
"201504";NORTE;127.36
"201504";SUDESTE;388.48
"201504";SUL;388.48
"201505";NORDESTE;387.24
"201505";NORTE;137.14
"201505";SUDESTE;387.24
"201505";SUL;387.24
"201506";NORDESTE;372.73
"201506";NORTE;372.73
"201506";SUDESTE;372.73
"201506";SUL;372.73
"201507";NORDESTE;243.74
"201507";NORTE;241.24
"201507";SUDESTE;240.08
"201507";SUL;205.97
"201508";NORDESTE;145.09
"201508";NORTE;145.09
"201508";SUDESTE;145.09
"201508";SUL;145.09
"201509";NORDESTE;227.04
"201509";NORTE;227.04
"201509";SUDESTE;227.04
"201509";SUL;227.04
"201510";NORDESTE;218.92
"201510";NORTE;218.92
"201510";SUDESTE;212.32
"201510";SUL;203.72
"201511";NORDESTE;274.9
"201511";NORTE;257.6
"201511";SUDESTE;202.87
"201511";SUL;186.28
"201512";NORDESTE;303.22
"201512";NORTE;166.89
"201512";SUDESTE;116.08
"201512";SUL;110.55
"201601";NORDESTE;310.38
"201601";NORTE;63.49
"201601";SUDESTE;35.66
"201601";SUL;35.61
"201602";NORDESTE;166.28
"201602";NORTE;30.42
"201602";SUDESTE;30.42
"201602";SUL;30.42
"201603";NORDESTE;249.11
"201603";NORTE;37.73
"201603";SUDESTE;37.73
"201603";SUL;37.73
"201604";NORDESTE;266.71
"201604";NORTE;49.46
"201604";SUDESTE;49.42
"201604";SUL;49.42
"201605";NORDESTE;106.07
"201605";NORTE;88.98
"201605";SUDESTE;75.93
"201605";SUL;74.91
"201606";NORDESTE;118.6
"201606";NORTE;102.22
"201606";SUDESTE;61.32
"201606";SUL;56.13
"201607";NORDESTE;108.68
"201607";NORTE;106.13
"201607";SUDESTE;83.43
"201607";SUL;83.43
"201608";NORDESTE;119.47
"201608";NORTE;119.47
"201608";SUDESTE;115.58
"201608";SUL;112.36
"201609";NORDESTE;149.02
"201609";NORTE;149.02
"201609";SUDESTE;149.02
"201609";SUL;140.35
"201610";NORDESTE;200.21
"201610";NORTE;200.21
"201610";SUDESTE;200.21
"201610";SUL;200.21
"201611";NORDESTE;166.05
"201611";NORTE;166.05
"201611";SUDESTE;166.05
"201611";SUL;166.05
"201612";NORDESTE;122.19
"201612";NORTE;122.19
"201612";SUDESTE;122.19
"201612";SUL;122.19
"201701";NORDESTE;139.25
"201701";NORTE;121.44
"201701";SUDESTE;121.44
"201701";SUL;121.44
"201702";NORDESTE;164.66
"201702";NORTE;82.18
"201702";SUDESTE;128.43
"201702";SUL;128.43
"201703";NORDESTE;284.01
"201703";NORTE;33.68
"201703";SUDESTE;216.24
"201703";SUL;216.24
"201704";NORDESTE;372.41
"201704";NORTE;33.68
"201704";SUDESTE;371.47
"201704";SUL;371.47
"201705";NORDESTE;418.2
"201705";NORTE;171.95
"201705";SUDESTE;411.49
"201705";SUL;411.49
"201706";NORDESTE;143.59
"201706";NORTE;128.96
"201706";SUDESTE;124.7
"201706";SUL;65.91
"201707";NORDESTE;280.81
"201707";NORTE;280.81
"201707";SUDESTE;280.81
"201707";SUL;280.81
"201708";NORDESTE;505.95
"201708";NORTE;505.95
"201708";SUDESTE;505.95
"201708";SUL;505.95
"201709";NORDESTE;521.83
"201709";NORTE;521.83
